Level0;Level1;Level2;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Esportazioni;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Accordi commerciali;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Politica commerciale;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Imprese;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Tariffe;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Macroeconomia ; Bilancia commerciale;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Mercati, Borse ; Beni non durevoli;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Mercati, Borse ; Energia;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Mercati, Borse ; Metallo;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Mercati, Borse ; Titoli, Valori mobiliari;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Mercati, Borse ; Beni non durevoli;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Media ; Industria musicale;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Media ; Pubblicità ;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Media ; Editoria;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Media ; Industria cinematografica;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Media ; Agenzie di stampa;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Media ; Quotidiani e periodici;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Media ; On line;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Media ; Pubbliche Relazioni;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Media ; Industria Radiofonica;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Media ; Servizi via satellite e via cavo;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Media ; Industria televisiva;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Media ; Industria musicale;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Metallurgia e Meccanica ; Macchinari;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Metallurgia e Meccanica ; Aerospaziale;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Metallurgia e Meccanica ; Automobilistica;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Metallurgia e Meccanica ; Armamenti;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Metallurgia e Meccanica ; Elettrodomestici;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Metallurgia e Meccanica ; Ingegneria pesante;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Metallurgia e Meccanica ; Componenti industriali;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Metallurgia e Meccanica ; Strumentazioni;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Metallurgia e Meccanica ; Cantieri navali;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Metallurgia e Meccanica ; Macchinari;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Metalli, Minerali ; Miniere;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Metalli, Minerali ; Materiali edili;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Metalli, Minerali ; Oro, Materiali preziosi;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Metalli, Minerali ; Siderurgia;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Metalli, Minerali ; Metalli non ferrosi;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Metalli, Minerali ; Miniere;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Industria Trasformazione ; Tabacchi;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Industria Trasformazione ; Distillerie, Birrerie;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Industria Trasformazione ; Alimentare;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Industria Trasformazione ; Arredamento, Mobili;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Industria Trasformazione ; Carta, Imballaggi;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Industria Trasformazione ; Gomma;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Industria Trasformazione ; Analcolici;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Industria Trasformazione ; Tessile, Abbigliamento;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Industria Trasformazione ; Tabacchi;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Turismo, Tempo libero ; Tour Operator;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Turismo, Tempo libero ; Casinà², Giochi;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Turismo, Tempo libero ; Alberghiero;;;;;;;;;;;;;;;;
Economia, affari e finanza ; Turismo, Tempo libero ; Articoli sportivi, Tempo libero;;;;;;;;;;;;;;;;
